
 Id    Index     Head      Preassure 
6        1        1.33976        1.33976
7        2        1.33976        1.33976
8        3        1.33976        1.33976
9        4        18.9386        18.9386
10        5        18.9386        18.9386
11        6        18.9386        18.9386
12        7        9.67523        9.67523
13        8        9.6009        9.6009
14        9        9.38608        9.38608
15        10        9.33328        9.33328
16        11        9.31953        9.31953
17        12        9.31668        9.31668
18        13        9.33328        9.33328
19        14        9.32435        9.32435
20        15        9.31808        9.31808
21        16        9.31626        9.31626
22        17        9.31953        9.31953
23        18        9.31808        9.31808
24        19        9.31621        9.31621
25        20        9.31549        9.31549
26        21        9.31668        9.31668
27        22        9.31626        9.31626
28        23        9.31549        9.31549
29        24        9.31514        9.31514
4        25        1.5        0
1        26        9.7        0.7
2        27        6.6        0.6
